customerid,product_name,signup_date,channel,first_activation_date,first_purchase_date,cancel_date,
9130350804020600,Mint,6/2/21,PPC,6/2/21,6/12/21,9/2/21,
9130350804065140,Mint,6/2/21,Other,6/2/21,6/23/21,,
9130350804315620,Mint,6/2/21,PPC,6/2/21,6/7/21,,
9130350804439890,QuickBooks,6/2/21,Other,6/2/21,,,
9130350804513870,Mint,6/2/21,Sales,6/2/21,,,
9130350804589140,TurboTax,6/2/21,SEO,6/2/21,6/15/21,,
9130350804695300,,6/2/21,Direct,,,,
9130350804717280,,6/2/21,Direct,,,,
9130350805337000,Mint,6/2/21,Sales,6/2/21,7/3/21,,
9130350805397160,TurboTax,6/2/21,SEO,6/2/21,6/7/21,,
9130350805530030,,6/2/21,Direct,,,,
9130350805550560,Mint,6/2/21,PPC,6/2/21,6/26/21,,
9130350806155000,TurboTax,6/2/21,Other,6/2/21,6/15/21,,
9130350806281340,,6/2/21,Direct,,,,
9130350806281950,QuickBooks,6/2/21,Direct,6/2/21,6/11/21,10/2/21,
9130350806308320,,6/2/21,Direct,,,,
9130350806491030,TurboTax,6/2/21,Sales,6/2/21,,,
9130350806509370,TurboTax,6/2/21,PPC,6/2/21,6/12/21,10/2/21,
9130350806976150,Mailchimp,6/2/21,Other,6/2/21,,,
9130350806986020,Mint,6/2/21,Direct,6/2/21,,,
9130350807221880,QuickBooks,6/2/21,Direct,6/2/21,,10/3/21,
9130350807336310,TurboTax,6/2/21,PPC,6/3/21,6/14/21,,
9130350807354720,,6/2/21,Direct,,,,
9130350807357710,Mint,6/2/21,Direct,6/2/21,6/28/21,,
9130350807408160,TurboTax,6/2/21,SEO,6/3/21,,,
9130350807492400,Mailchimp,6/2/21,SEO,6/3/21,,,
9130350810710570,TurboTax,6/3/21,Other,6/3/21,,7/6/21,
9130350810917340,QuickBooks,6/3/21,Other,6/3/21,6/22/21,,
9130350810951220,Mailchimp,6/3/21,Other,6/3/21,,,
9130350810977930,QuickBooks,6/3/21,Other,6/3/21,,,
9130350811086050,TurboTax,6/3/21,PPC,6/3/21,,,
9130350811209350,,6/3/21,Direct,,,,
9130350811389940,Mailchimp,6/3/21,Other,6/3/21,,,
9130350811558850,,6/3/21,Direct,,,,
9130350811681310,,6/3/21,Direct,,,,
9130350811756940,QuickBooks,6/3/21,Other,6/3/21,,,
9130350811757600,Mint,6/3/21,Other,6/3/21,6/15/21,,
9130350811760010,Mint,6/3/21,PPC,7/3/21,7/20/21,,
9130350812328440,Mailchimp,6/3/21,SEO,6/3/21,,,
9130350812544910,Mailchimp,6/3/21,Direct,6/3/21,,8/3/21,
9130350812660950,,6/3/21,Other,,,,
9130350812935980,TurboTax,6/3/21,PPC,6/3/21,,,
9130350812955260,QuickBooks,6/3/21,Direct,6/3/21,6/7/21,,
9130350813266480,Mailchimp,6/3/21,Other,6/3/21,,,
9130350813399500,Mint,6/3/21,Direct,6/3/21,,,
9130350813430290,Mailchimp,6/3/21,Other,7/3/21,,9/3/21,
9130350813449540,TurboTax,6/3/21,PPC,6/3/21,,,
9130350813860350,,6/3/21,Direct,,,,
9130350813904050,,6/3/21,Direct,,,,
9130350813940590,Mint,6/3/21,Direct,6/6/21,7/3/21,,
9130350814056100,,6/3/21,PPC,,,,
9130350814240100,QuickBooks,6/3/21,PPC,6/4/21,6/7/21,8/30/21,
9130350817057060,TurboTax,6/4/21,Direct,6/4/21,,10/4/21,
9130350817270420,QuickBooks,6/4/21,Other,6/4/21,,,
9130350817485510,,6/4/21,Direct,,,,
9130350817500180,,6/4/21,Direct,,,,
9130350817535540,QuickBooks,6/4/21,SEO,6/4/21,,,
9130350817539250,Mint,6/4/21,Other,6/4/21,,,
9130350817622500,,6/4/21,Direct,,,,
9130350817674420,Mint,6/4/21,SEO,6/4/21,,11/4/21,
9130350817913040,Mailchimp,6/4/21,Direct,6/4/21,6/8/21,7/4/21,
9130350818095260,QuickBooks,6/4/21,SEO,6/4/21,,,
9130350818225000,Mailchimp,6/4/21,Other,7/4/21,7/23/21,10/4/21,
9130350818372250,TurboTax,6/4/21,Other,6/4/21,6/6/21,,
9130350818387440,TurboTax,6/4/21,PPC,6/4/21,,,
9130350818390480,TurboTax,6/4/21,PPC,6/4/21,,,
9130350818433460,TurboTax,6/4/21,PPC,6/5/21,6/24/21,,
9130350818465320,TurboTax,6/4/21,Direct,6/4/21,,,
9130350818524240,Mint,6/4/21,PPC,6/4/21,,,
9130350818908120,QuickBooks,6/4/21,Direct,6/4/21,,,
9130350818932620,Mailchimp,6/4/21,Other,6/4/21,6/22/21,,
9130350818941140,,6/4/21,Direct,,,,
9130350818951890,Mailchimp,6/4/21,Direct,6/4/21,,,
9130350819156000,,6/4/21,Other,,,,
9130350819171910,Mailchimp,6/4/21,Direct,6/4/21,6/10/21,,
9130350819372540,,6/4/21,Direct,,,,
9130350819675240,QuickBooks,6/4/21,Sales,6/4/21,,,
9130350819760190,TurboTax,6/4/21,Other,6/4/21,,,
9130350819765700,TurboTax,6/4/21,Sales,6/4/21,6/30/21,,
9130350820128090,QuickBooks,6/4/21,Direct,7/2/21,,,
9130350820164910,,6/4/21,Direct,,,,
9130350820178700,Mailchimp,6/4/21,SEO,6/5/21,,,
9130350820208620,QuickBooks,6/4/21,SEO,6/5/21,,7/31/21,
9130350820215740,Mint,6/4/21,Direct,6/4/21,6/29/21,7/5/21,
9130350820242210,Mint,6/4/21,Other,7/4/21,7/29/21,,
9130350820271970,,6/4/21,Direct,,,,
9130350823258180,Mint,6/5/21,Direct,6/5/21,6/27/21,,
9130350823284720,,6/5/21,PPC,,,,
9130350823290990,Mint,6/5/21,Direct,6/5/21,,9/5/21,
9130350823452330,TurboTax,6/5/21,Other,6/5/21,6/15/21,,
9130350823954620,Mint,6/5/21,Direct,6/5/21,,,
9130350824046620,,6/5/21,Direct,,,,
9130350824556710,,6/5/21,PPC,,,,
9130350824671010,,6/5/21,PPC,,,,
9130350824722890,,6/5/21,Direct,,,,
9130350824742120,,6/5/21,Direct,,,,
9130350827508720,,6/6/21,Direct,,,,
9130350827578580,TurboTax,6/6/21,PPC,6/6/21,6/24/21,,
9130350827579430,,6/6/21,Direct,,,,
9130350827591550,,6/6/21,Direct,,,,
9130350827607410,TurboTax,6/6/21,PPC,6/6/21,6/30/21,,
9130350827609960,,6/6/21,Direct,,,,
9130350827680110,Mailchimp,6/6/21,SEO,6/6/21,6/21/21,,
9130350827731390,,6/6/21,SEO,,,,
9130350827736800,,6/6/21,PPC,,,,
9130350827860000,TurboTax,6/6/21,PPC,6/6/21,,,
9130350828224690,,6/6/21,Direct,,,,
9130350828252370,,6/6/21,Direct,,,,
9130350828254950,,6/6/21,Direct,,,,
9130350828315710,Mailchimp,6/6/21,Other,6/6/21,,,
9130350828353270,,6/6/21,Direct,,,,
9130350828358070,,6/6/21,Direct,,,,
9130350828451550,,6/6/21,Other,,,,
9130350828517550,,6/6/21,Direct,,,,
9130350828969420,QuickBooks,6/6/21,Direct,6/6/21,,,
9130350828999150,,6/6/21,Direct,,,,
9130350829053930,QuickBooks,6/6/21,PPC,6/7/21,,10/3/21,
9130350829122340,,6/6/21,SEO,,,,
9130350829124710,QuickBooks,6/6/21,Direct,6/6/21,6/19/21,7/7/21,
9130350829134870,,6/6/21,PPC,,,,
9130350829286230,,6/7/21,Direct,,,,
9130350832550830,Mint,6/7/21,Sales,6/7/21,,,
9130350832760310,,6/7/21,Direct,,,,
9130350832771090,QuickBooks,6/7/21,SEO,6/7/21,,,
9130350832900400,TurboTax,6/7/21,Other,6/7/21,6/12/21,,
9130350832970400,Mailchimp,6/7/21,Other,6/7/21,,7/6/21,
9130350833064050,,6/7/21,PPC,,,,
9130350833335880,Mint,6/7/21,Direct,6/9/21,,,
9130350833380460,QuickBooks,6/7/21,Direct,6/9/21,,,
9130350833381750,QuickBooks,6/7/21,PPC,7/7/21,7/23/21,,
9130350833507110,,6/7/21,SEO,,,,
9130350833586590,QuickBooks,6/7/21,SEO,6/7/21,,8/7/21,
9130350833599190,,6/7/21,PPC,,,,
9130350833659990,Mint,6/7/21,PPC,6/7/21,,,
9130350834093120,Mailchimp,6/7/21,SEO,6/7/21,,,
9130350834138270,Mint,6/7/21,Other,6/7/21,6/20/21,,
9130350834244210,Mailchimp,6/7/21,Other,6/7/21,6/10/21,,
9130350834448080,QuickBooks,6/7/21,PPC,6/8/21,,,
9130350834581750,TurboTax,6/7/21,Other,6/7/21,,8/3/21,
9130350834595260,,6/7/21,Direct,,,,
9130350834650850,QuickBooks,6/7/21,Other,6/7/21,,,
9130350834674730,,6/7/21,PPC,,,,
9130350834751220,Mint,6/7/21,Other,6/7/21,,,
9130350834788680,,6/7/21,Direct,,,,
9130350834818290,Mailchimp,6/7/21,Sales,6/7/21,6/12/21,7/7/21,
9130350834864530,Mailchimp,6/7/21,Direct,6/7/21,6/16/21,7/7/21,
9130350834974390,Mint,6/7/21,PPC,6/7/21,,,
9130350835115740,QuickBooks,6/7/21,Direct,6/7/21,,,
9130350835123360,,6/7/21,PPC,,,,
9130350835778240,,6/7/21,Direct,,,,
9130350835850060,,6/7/21,Direct,,,,
9130350835857660,,6/7/21,PPC,,,,
9130350835933090,,6/7/21,Other,,,,
9130350835960780,Mailchimp,6/7/21,SEO,6/8/21,6/20/21,,
9130350836061770,,6/7/21,Other,,,,
9130350838949060,,6/8/21,SEO,,,,
9130350838963590,TurboTax,6/8/21,PPC,6/8/21,7/4/21,,
9130350838980090,,6/8/21,Other,,,,
9130350839090270,,6/8/21,Other,,,,
9130350839209500,,6/8/21,PPC,,,,
9130350839417680,,6/8/21,Other,,,,
9130350839439460,Mint,6/8/21,Direct,6/9/21,7/2/21,,
9130350839471000,Mailchimp,6/8/21,Sales,6/8/21,,,
9130350839701500,Mint,6/8/21,Other,6/8/21,6/16/21,,
9130350839864810,QuickBooks,6/8/21,PPC,6/8/21,,,
9130350839888920,,6/8/21,Other,,,,
9130350839955590,,6/8/21,Other,,,,
9130350840246580,,6/8/21,Other,,,,
9130350840260450,,6/8/21,Sales,,,,
9130350840268330,Mailchimp,6/8/21,Direct,6/8/21,,11/8/21,
9130350840298810,Mint,6/8/21,Sales,6/8/21,,9/8/21,
9130350840383100,,6/8/21,PPC,,,,
9130350840547740,,6/8/21,Other,,,,
9130350840667510,Mint,6/8/21,Other,6/8/21,7/9/21,,
9130350841225970,,6/8/21,Other,,,,
9130350841294660,,6/8/21,Other,,,,
9130350841427330,,6/8/21,PPC,,,,
9130350841448600,,6/8/21,Other,,,,
9130350841891820,QuickBooks,6/8/21,Direct,6/8/21,6/22/21,,
9130350841980960,Mailchimp,6/8/21,PPC,6/8/21,,,
9130350842028320,,6/8/21,Other,,,,
9130350842047000,,6/8/21,Direct,,,,
9130350842066660,,6/8/21,Other,,,,
9130350842099510,Mint,6/8/21,Other,6/8/21,6/10/21,,
9130350842119930,,6/8/21,Other,,,,
9130350842448330,,6/8/21,Other,,,,
9130350842954470,,6/8/21,Other,,,,
9130350842997040,,6/8/21,Other,,,,
9130350843010120,,6/8/21,Other,,,,
9130350843022010,,6/8/21,Direct,,,,
9130350843078380,QuickBooks,6/8/21,Other,6/8/21,6/22/21,,
9130350843130620,,6/8/21,PPC,,,,
9130350843139160,,6/8/21,Other,,,,
9130350843196300,,6/8/21,Other,,,,
9130350843307040,,6/8/21,Other,,,,
9130350843507620,,6/8/21,Other,,,,
9130350846571490,TurboTax,6/9/21,SEO,7/10/21,7/22/21,,
9130350847080670,,6/9/21,Other,,,,
9130350847168480,,6/9/21,Direct,,,,
9130350847242840,QuickBooks,6/9/21,PPC,7/12/21,,,
9130350847421800,Mailchimp,6/9/21,PPC,6/9/21,6/12/21,11/5/21,
9130350847434560,TurboTax,6/9/21,Sales,6/9/21,6/12/21,,
9130350847527760,Mailchimp,6/9/21,Other,6/9/21,7/7/21,11/2/21,
9130350847609050,QuickBooks,6/9/21,SEO,6/9/21,6/18/21,8/9/21,
9130350847891150,,6/9/21,PPC,,,,
9130350847914200,Mint,6/9/21,Other,6/9/21,,,
9130350847999860,QuickBooks,6/9/21,Sales,6/9/21,,,
9130350848032330,Mint,6/9/21,Sales,6/9/21,,,
9130350848134430,,6/9/21,Other,,,,
9130350848572540,Mailchimp,6/9/21,PPC,6/9/21,6/19/21,8/9/21,
9130350848794020,,6/9/21,Direct,,,,
9130350848832160,QuickBooks,6/9/21,Other,6/9/21,,,
9130350849066000,Mailchimp,6/9/21,Direct,6/9/21,,,
9130350849106230,Mint,6/9/21,SEO,6/9/21,,,
9130350849245810,TurboTax,6/9/21,Direct,7/9/21,,,
9130350849298930,,6/9/21,PPC,,,,
9130350849380510,TurboTax,6/9/21,PPC,6/9/21,6/26/21,,
9130350849461380,,6/9/21,Direct,,,,
9130350849496190,Mailchimp,6/9/21,Other,6/9/21,7/9/21,,
9130350849525080,QuickBooks,6/9/21,Direct,8/2/21,,,
9130350849532840,Mint,6/9/21,Other,6/9/21,7/8/21,,
9130350849598020,,6/9/21,Direct,,,,
9130350849626860,QuickBooks,6/9/21,SEO,6/9/21,6/11/21,,
9130350850053900,,6/9/21,Direct,,,,
9130350850078750,TurboTax,6/9/21,PPC,6/9/21,,,
9130350850168320,TurboTax,6/9/21,SEO,6/10/21,6/12/21,,
9130350850307790,,6/9/21,Direct,,,,
9130350850476890,QuickBooks,6/10/21,SEO,6/10/21,,,
9130350853211760,,6/10/21,PPC,,,,
9130350853432180,,6/10/21,Direct,,,,
9130350853492000,QuickBooks,6/10/21,SEO,6/10/21,7/7/21,,
9130350853525440,Mint,6/10/21,PPC,6/10/21,,9/10/21,
9130350853591440,TurboTax,6/10/21,Sales,6/10/21,6/24/21,,
9130350853627010,TurboTax,6/10/21,Other,6/10/21,6/12/21,,
9130350853793200,,6/10/21,Direct,,,,
9130350853837460,,6/10/21,PPC,,,,
9130350854011380,,6/10/21,Direct,,,,
9130350854123840,Mailchimp,6/10/21,Other,6/10/21,,6/11/21,
9130350854146310,,6/10/21,PPC,,,,
9130350854364930,,6/10/21,PPC,,,,
9130350854597530,Mint,6/10/21,SEO,6/10/21,6/16/21,,
9130350855059280,,6/10/21,Direct,,,,
9130350855068440,,6/10/21,Direct,,,,
9130350855140120,Mint,6/10/21,PPC,6/10/21,,,
9130350855203230,TurboTax,6/10/21,Other,6/10/21,,,
9130350855414560,,6/10/21,Direct,,,,
9130350855477430,Mailchimp,6/10/21,Other,6/10/21,7/1/21,,
9130350855508180,,6/10/21,PPC,,,,
9130350855655230,,6/10/21,Direct,,,,
9130350855786500,Mailchimp,6/10/21,SEO,6/10/21,7/7/21,,
9130350855797270,Mint,6/10/21,PPC,6/10/21,6/19/21,9/10/21,
9130350855901230,QuickBooks,6/10/21,SEO,6/10/21,,,
9130350856678800,Mint,6/10/21,Direct,6/11/21,,,
9130350856742920,,6/10/21,Direct,,,,
9130350859623370,,6/11/21,Other,,,,
9130350859676860,,6/11/21,Other,,,,
9130350859684280,Mint,6/11/21,Other,8/16/21,8/25/21,,
9130350859788710,,6/11/21,Direct,,,,
9130350860174570,QuickBooks,6/11/21,Direct,6/11/21,7/3/21,,
9130350860222840,,6/11/21,Direct,,,,
9130350860272290,Mint,6/11/21,Other,6/11/21,6/16/21,,
9130350860290860,Mailchimp,6/11/21,Other,6/11/21,6/24/21,,
9130350860336070,,6/11/21,PPC,,,,
9130350860456680,,6/11/21,PPC,,,,
9130350860777790,TurboTax,6/11/21,Other,6/11/21,6/16/21,7/21/21,
9130350861507080,TurboTax,6/11/21,PPC,6/11/21,,,
9130350861530480,TurboTax,6/11/21,PPC,6/11/21,6/25/21,,
9130350861596550,,6/11/21,PPC,,,,
9130350861624400,Mailchimp,6/11/21,Other,6/11/21,,9/6/21,
9130350861798160,Mint,6/11/21,Other,6/11/21,6/23/21,11/12/21,
9130350861852130,QuickBooks,6/11/21,PPC,6/11/21,,8/11/21,
9130350862355920,,6/11/21,Direct,,,,
9130350862421040,Mint,6/11/21,Other,6/14/21,7/6/21,,
9130350862423600,,6/11/21,Other,,,,
9130350862425550,,6/11/21,Direct,,,,
9130350862459040,,6/11/21,PPC,,,,
9130350862528480,Mint,6/11/21,SEO,6/12/21,,6/30/21,
9130350862551670,,6/11/21,Direct,,,,
9130350862597080,,6/11/21,Direct,,,,
9130350865387070,TurboTax,6/12/21,SEO,6/12/21,6/19/21,,
9130350865505460,,6/12/21,Direct,,,,
9130350865541590,Mailchimp,6/12/21,Direct,7/12/21,8/9/21,8/12/21,
9130350865681480,Mint,6/12/21,Direct,6/13/21,6/14/21,,
9130350865689950,TurboTax,6/12/21,Direct,6/12/21,,9/12/21,
9130350865707520,Mint,6/12/21,SEO,6/12/21,,8/12/21,
9130350866084180,,6/12/21,SEO,,,,
9130350866086180,,6/12/21,Direct,,,,
9130350866279830,Mailchimp,6/12/21,PPC,6/12/21,6/22/21,9/12/21,
9130350866847460,Mint,6/12/21,PPC,6/13/21,,,
9130350866892950,Mailchimp,6/12/21,SEO,6/13/21,6/23/21,,
9130350869695990,TurboTax,6/13/21,Direct,6/13/21,6/23/21,,
9130350869707630,Mint,6/13/21,Direct,6/13/21,,,
9130350869742670,TurboTax,6/13/21,Other,6/14/21,7/10/21,10/13/21,
9130350869752480,,6/13/21,SEO,,,,
9130350869771610,,6/13/21,Other,,,,
9130350869804300,QuickBooks,6/13/21,SEO,6/13/21,,,
9130350869829880,,6/13/21,Other,,,,
9130350869878420,,6/13/21,Direct,,,,
9130350869921610,,6/13/21,Direct,,,,
9130350869928760,QuickBooks,6/13/21,Direct,6/13/21,6/26/21,11/13/21,
9130350869968980,,6/13/21,Direct,,,,
9130350870343530,TurboTax,6/13/21,Direct,6/13/21,,7/13/21,
9130350870451490,,6/13/21,Direct,,,,
9130350870578670,TurboTax,6/13/21,Direct,6/13/21,7/9/21,,
9130350871054230,QuickBooks,6/13/21,Direct,6/13/21,7/12/21,9/14/21,
9130350871137410,,6/13/21,Direct,,,,
9130350871188230,,6/13/21,Direct,,,,
9130350871308530,,6/13/21,Direct,,,,
9130350874125060,,6/14/21,Other,,,,
9130350874190380,,6/14/21,Direct,,,,
9130350874316630,,6/14/21,SEO,,,,
9130350874447210,Mailchimp,6/14/21,PPC,6/14/21,6/27/21,9/10/21,
9130350874469380,Mint,6/14/21,Direct,6/18/21,7/11/21,,
9130350874517080,TurboTax,6/14/21,Direct,6/18/21,7/14/21,,
9130350874560120,,6/14/21,Direct,,,,
9130350874580560,,6/14/21,Other,,,,
9130350874781620,Mailchimp,6/14/21,Other,6/14/21,7/11/21,,
9130350874854310,QuickBooks,6/14/21,SEO,6/18/21,7/13/21,9/22/21,
9130350874902480,TurboTax,6/14/21,PPC,6/14/21,,,
9130350874915100,QuickBooks,6/14/21,SEO,6/14/21,,7/14/21,
9130350874952190,QuickBooks,6/14/21,Other,6/14/21,,7/15/21,
9130350875132770,Mint,6/14/21,Other,6/14/21,7/4/21,,
9130350875232650,TurboTax,6/14/21,Other,6/14/21,,,
9130350875254410,,6/14/21,Direct,,,,
9130350875414750,QuickBooks,6/14/21,PPC,6/14/21,6/19/21,,
9130350875433970,Mailchimp,6/14/21,Direct,6/14/21,6/16/21,,
9130350875493080,QuickBooks,6/14/21,PPC,6/14/21,7/6/21,,
9130350875630760,,6/14/21,Direct,,,,
9130350875692860,QuickBooks,6/14/21,Sales,6/14/21,,,
9130350875722500,TurboTax,6/14/21,SEO,6/14/21,7/4/21,,
9130350876261210,,6/14/21,Direct,,,,
9130350876289650,Mailchimp,6/14/21,Other,6/14/21,,,
9130350876630970,,6/14/21,Sales,,,,
9130350876700540,Mint,6/14/21,Other,7/14/21,7/23/21,,
9130350876845190,Mint,6/14/21,Other,6/14/21,,,
9130350876903120,Mailchimp,6/14/21,Other,6/14/21,7/4/21,,
9130350876932030,TurboTax,6/14/21,Direct,6/18/21,7/3/21,,
9130350876993980,QuickBooks,6/14/21,Other,6/14/21,,,
9130350877200710,QuickBooks,6/14/21,Other,6/14/21,6/25/21,10/18/21,
9130350877202790,TurboTax,6/14/21,SEO,6/14/21,,,
9130350877436960,QuickBooks,6/14/21,PPC,6/14/21,,10/14/21,
9130350877446740,,6/14/21,PPC,,,,
9130350877449850,,6/14/21,Direct,,,,
9130350877497450,,6/14/21,Direct,,,,
9130350878389720,TurboTax,6/14/21,PPC,7/27/21,,,
9130350878426600,Mailchimp,6/14/21,PPC,6/15/21,7/4/21,,
9130350881336900,,6/15/21,Other,,,,
9130350881914300,,6/15/21,Direct,,,,
9130350882332160,TurboTax,6/15/21,Other,6/15/21,6/16/21,,
9130350882438190,,6/15/21,Direct,,,,
9130350882461250,Mint,6/15/21,SEO,6/16/21,6/27/21,,
9130350882550050,Mint,6/15/21,SEO,6/15/21,,11/11/21,
9130350883011060,,6/15/21,Direct,,,,
9130350883497500,TurboTax,6/15/21,PPC,8/15/21,,,
9130350883718420,Mint,6/15/21,Direct,6/15/21,6/30/21,,
9130350883876420,QuickBooks,6/15/21,PPC,6/16/21,7/10/21,,
9130350883886920,,6/15/21,PPC,,,,
9130350884018380,TurboTax,6/15/21,Other,6/15/21,,,
9130350884300200,TurboTax,6/15/21,Other,6/15/21,,,
9130350884330220,TurboTax,6/15/21,Other,6/15/21,7/16/21,,
9130350884520190,Mailchimp,6/15/21,Direct,7/15/21,,,
9130350884929820,Mint,6/15/21,SEO,6/15/21,,8/15/21,
9130350885048520,Mint,6/15/21,PPC,6/16/21,,10/12/21,
9130350885072950,TurboTax,6/15/21,SEO,6/16/21,6/20/21,,
9130350885300560,,6/15/21,Other,,,,
9130350885310650,Mailchimp,6/15/21,Direct,6/16/21,,,
9130350888284490,Mint,6/16/21,PPC,6/16/21,,,
9130350888301790,,6/16/21,Direct,,,,
9130350888349180,,6/16/21,Direct,,,,
9130350888596470,Mailchimp,6/16/21,Direct,6/16/21,,,
9130350888654440,,6/16/21,PPC,,,,
9130350888684900,TurboTax,6/16/21,PPC,6/16/21,,,
9130350888774850,,6/16/21,Other,,,,
9130350888828060,Mint,6/16/21,Sales,6/16/21,,,
9130350889067280,,6/16/21,Direct,,,,
9130350889109570,TurboTax,6/16/21,Direct,6/17/21,,,
9130350889150540,,6/16/21,SEO,,,,
9130350889190780,QuickBooks,6/16/21,Sales,6/16/21,7/15/21,,
9130350889455010,Mailchimp,6/16/21,SEO,6/16/21,,7/16/21,
9130350889720360,,6/16/21,PPC,,,,
9130350890203280,TurboTax,6/16/21,Direct,6/17/21,7/17/21,,
9130350890270740,QuickBooks,6/16/21,SEO,6/17/21,,9/16/21,
9130350890274580,Mint,6/16/21,PPC,6/16/21,6/28/21,,
9130350890445280,,6/16/21,Direct,,,,
9130350890515860,Mint,6/16/21,Other,6/16/21,,,
9130350890768080,TurboTax,6/16/21,SEO,6/16/21,6/25/21,10/16/21,
9130350890773430,Mint,6/16/21,PPC,6/16/21,7/10/21,,
9130350890941450,Mint,6/16/21,PPC,6/16/21,,,
9130350891000140,,6/16/21,Other,,,,
9130350891066670,TurboTax,6/16/21,PPC,6/16/21,7/9/21,,
9130350891136350,QuickBooks,6/16/21,Direct,6/16/21,,8/16/21,
9130350891620490,Mailchimp,6/16/21,PPC,6/16/21,7/3/21,10/13/21,
9130350891670190,,6/16/21,Direct,,,,
9130350891684780,,6/16/21,Direct,,,,
9130350891880610,QuickBooks,6/16/21,PPC,6/17/21,6/23/21,,
9130350891965250,,6/16/21,Direct,,,,
9130350892078120,,6/16/21,Direct,,,,
9130350892154810,,6/16/21,Direct,,,,
9130350892245910,,6/16/21,Other,,,,
9130350895228260,,6/17/21,Direct,,,,
9130350895340980,,6/17/21,Direct,,,,
9130350895441470,Mailchimp,6/17/21,PPC,6/19/21,7/6/21,,
9130350895651050,Mint,6/17/21,SEO,6/17/21,6/21/21,,
9130350895952180,QuickBooks,6/17/21,Direct,6/17/21,,7/17/21,
9130350895956080,TurboTax,6/17/21,Other,7/17/21,,,
9130350896017580,,6/17/21,Direct,,,,
9130350896028420,,6/17/21,SEO,,,,
9130350896366270,,6/17/21,Other,,,,
9130350896376130,Mint,6/17/21,PPC,6/17/21,6/24/21,10/17/21,
9130350896403850,Mint,6/17/21,Other,6/17/21,,,
9130350896417360,TurboTax,6/17/21,PPC,6/19/21,6/22/21,,
9130350896433520,,6/17/21,SEO,,,,
9130350897050160,Mint,6/17/21,Sales,6/17/21,,,
9130350897268370,TurboTax,6/17/21,Other,6/17/21,,,
9130350897289010,Mailchimp,6/17/21,PPC,6/17/21,7/1/21,,
9130350897300280,,6/17/21,Direct,,,,
9130350897408100,TurboTax,6/17/21,SEO,6/17/21,6/18/21,11/17/21,
9130350897511950,Mailchimp,6/17/21,Other,6/17/21,7/12/21,,
9130350897717440,Mint,6/17/21,PPC,6/17/21,,,
9130350898642680,,6/17/21,Other,,,,
9130350898767350,Mint,6/17/21,SEO,6/18/21,,,
9130350898879960,QuickBooks,6/17/21,Other,6/18/21,,,
9130350901700560,,6/18/21,Direct,,,,
9130350902052780,QuickBooks,6/18/21,PPC,6/18/21,,,
9130350902404720,Mint,6/18/21,SEO,6/18/21,6/27/21,7/18/21,
9130350902433450,Mailchimp,6/18/21,Other,6/18/21,6/25/21,,
9130350902438120,,6/18/21,Other,,,,
9130350902593620,TurboTax,6/18/21,PPC,6/18/21,,,
9130350902642580,Mailchimp,6/18/21,Sales,6/18/21,,10/18/21,
9130350902805740,,6/18/21,PPC,,,,
9130350903314520,TurboTax,6/18/21,Direct,6/18/21,7/18/21,,
9130350903428340,QuickBooks,6/18/21,Other,6/18/21,,,
9130350903472690,Mint,6/18/21,Direct,6/18/21,6/22/21,8/14/21,
9130350903967600,TurboTax,6/18/21,PPC,6/18/21,7/8/21,,
